dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/11754/1.03,1.03,-119.63693070,16,,13.05130104109428528645,13.05126488874715406466,13.04911514129367265922,89.99298970931049491760,89.99097809724642343870,89.99124293462386378203,2222.73383603240942348511
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1778/0.94,0.94,-117.65562727,13,,11.91089611091182172426,11.91086311140060537475,11.90890121189625787336,89.99231119762701156599,89.99010698464492254482,89.99039718970024421060,1689.50447333859442301881
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1778/0.97,0.97,-119.49256884,9,,12.29103108740939524436,12.29099703701811164185,12.28897252153451804977,89.99255135882190265661,89.99041531729397788597,89.99069654319384083403,1856.48305042336500857947
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1778/1.0,1.0,-119.95595066,1,,12.67116606417511271081,12.67113096283656938387,12.66904383133848261989,89.99277710964363457478,89.99070514928741191594,89.99097793499888669718,2034.11632904713926280670
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1778/1.03,1.03,-119.59084522,9,,13.05130104109428528645,13.05126488874715406466,13.04911514129367265922,89.99298970931049491760,89.99097809724642343870,89.99124293462386378203,2222.73383603240942348511
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1785/0.94,0.94,-117.65565620,13,,11.91089611091182172426,11.91086311140060537475,11.90890121189625787336,89.99231119762701156599,89.99010698464492254482,89.99039718970024421060,1689.50447333859442301881
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1785/0.97,0.97,-119.49105556,9,,12.29103108740939524436,12.29099703701811164185,12.28897252153451804977,89.99255135882190265661,89.99041531729397788597,89.99069654319384083403,1856.48305042336500857947
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1785/1.0,1.0,-119.96524896,1,,12.67116606417511271081,12.67113096283656938387,12.66904383133848261989,89.99277710964363457478,89.99070514928741191594,89.99097793499888669718,2034.11632904713926280670
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/1785/1.03,1.03,-119.60066514,9,,13.05130104109428528645,13.05126488874715406466,13.04911514129367265922,89.99298970931049491760,89.99097809724642343870,89.99124293462386378203,2222.73383603240942348511
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2612/0.94,0.94,-117.64490990,12,,11.90886383544015761784,11.90876330057299842170,11.91082884293723733180,89.99137978462093482166,89.99049513127980522576,89.98962248350778419068,1689.19177668021228683427
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2612/0.97,0.97,-119.49077215,9,,12.28893395370386329095,12.28883020789445223023,12.29096167295773448926,89.99164875768954650727,89.99079145705981466486,89.98994579840162509805,1856.13944927810285959750
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2612/1.0,1.0,-119.95866871,1,,12.66900407208974837475,12.66889711550661701320,12.67109450303900177434,89.99190159136496807686,89.99107000273206974258,89.99024971384055477500,2033.73985141220544263180
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2612/1.03,1.03,-119.59518007,9,,13.04907419058713355578,13.04896402329283214864,13.05122733326699311132,89.99213969597102542063,89.99133232194583825750,89.99053592497013477557,2222.32244894445625422480
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2738/0.94,0.94,-117.64989566,13,,11.90886383544015761784,11.90876330057299842170,11.91082884293723733180,89.99137978462093482166,89.99049513127980522576,89.98962248350778419068,1689.19177668021228683427
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2738/0.97,0.97,-119.49137535,9,,12.28893395370386329095,12.28883020789445223023,12.29096167295773448926,89.99164875768954650727,89.99079145705981466486,89.98994579840162509805,1856.13944927810285959750
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2738/1.0,1.0,-119.95732485,1,,12.66900407208974837475,12.66889711550661701320,12.67109450303900177434,89.99190159136496807686,89.99107000273206974258,89.99024971384055477500,2033.73985141220544263180
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2738/1.03,1.03,-119.64437899,16,,13.04907419058713355578,13.04896402329283214864,13.05122733326699311132,89.99213969597102542063,89.99133232194583825750,89.99053592497013477557,2222.32244894445625422480
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2774/0.94,0.94,-117.78257944,9,,11.90886383544015761784,11.90876330057299842170,11.91082884293723733180,89.99137978462093482166,89.99049513127980522576,89.98962248350778419068,1689.19177668021228683427
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2774/0.97,0.97,-119.64578888,7,,12.28893395370386329095,12.28883020789445223023,12.29096167295773448926,89.99164875768954650727,89.99079145705981466486,89.98994579840162509805,1856.13944927810285959750
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2774/1.0,1.0,-120.06311500,1,,12.66900407208974837475,12.66889711550661701320,12.67109450303900177434,89.99190159136496807686,89.99107000273206974258,89.99024971384055477500,2033.73985141220544263180
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2774/1.03,1.03,-119.61600440,9,,13.04907419058713355578,13.04896402329283214864,13.05122733326699311132,89.99213969597102542063,89.99133232194583825750,89.99053592497013477557,2222.32244894445625422480
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2886/0.94,0.94,-117.78315578,9,,11.90886383544015761784,11.90876330057299842170,11.91082884293723733180,89.99137978462093482166,89.99049513127980522576,89.98962248350778419068,1689.19177668021228683427
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2886/0.97,0.97,-119.64650823,7,,12.28893395370386329095,12.28883020789445223023,12.29096167295773448926,89.99164875768954650727,89.99079145705981466486,89.98994579840162509805,1856.13944927810285959750
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2886/1.0,1.0,-120.06532170,1,,12.66900407208974837475,12.66889711550661701320,12.67109450303900177434,89.99190159136496807686,89.99107000273206974258,89.99024971384055477500,2033.73985141220544263180
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2886/1.03,1.03,-119.61814668,9,,13.04907419058713355578,13.04896402329283214864,13.05122733326699311132,89.99213969597102542063,89.99133232194583825750,89.99053592497013477557,2222.32244894445625422480
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2915/0.94,0.94,-117.54979160,13,,11.90886383544015761784,11.90876330057299842170,11.91082884293723733180,89.99137978462093482166,89.99049513127980522576,89.98962248350778419068,1689.19177668021228683427
/gpfs/scratch/vkb5066/agbii4NoSymStruct/all/2915/0.97,0.97,-119.44068385,8,,12.28893395370386329095,12.28883020789445223023,12.29096167295773448926,89.99164875768954650727,89.99079145705981466486,89.98994579840162509805,1856.13944927810285959750
