10095,AgI,48,3.1368,BiI,48,3.12606
10131,AgI,48,3.15161,BiI,48,3.12644
1015,AgI,48,3.14739,BiI,48,3.12629
10257,AgI,48,3.15201,BiI,48,3.1262
11084,AgI,48,3.15166,BiI,48,3.12637
1115,AgI,48,3.14719,BiI,48,3.12514
11754,AgI,48,3.15263,BiI,48,3.12625
1778,AgI,48,3.14765,BiI,48,3.12521
1785,AgI,48,3.14745,BiI,48,3.12639
2612,AgI,48,3.14812,BiI,48,3.12538
2738,AgI,48,3.14956,BiI,48,3.12572
2774,AgI,48,3.13741,BiI,48,3.12524
2886,AgI,48,3.13804,BiI,48,3.12564
2915,AgI,48,3.15252,BiI,48,3.12619
2999,AgI,48,3.15263,BiI,48,3.12654
3297,AgI,48,3.14755,BiI,48,3.12593
3471,AgI,48,3.14793,BiI,48,3.12591
3982,AgI,48,3.1479,BiI,48,3.1257
4082,AgI,48,3.1478,BiI,48,3.12526
4089,AgI,48,3.14707,BiI,48,3.1251
4209,AgI,48,3.14746,BiI,48,3.12629
4249,AgI,48,3.1388,BiI,48,3.12568
4304,AgI,48,3.14929,BiI,48,3.12575
4424,AgI,48,3.14851,BiI,48,3.12554
4431,AgI,48,3.14709,BiI,48,3.12563
4531,AgI,48,3.14713,BiI,48,3.12581
4572,AgI,48,3.13819,BiI,48,3.1254
4884,AgI,48,3.14798,BiI,48,3.12614
5152,AgI,48,3.13814,BiI,48,3.12533
5180,AgI,48,3.15211,BiI,48,3.12617
5326,AgI,48,3.1474,BiI,48,3.12581
5372,AgI,48,3.13897,BiI,48,3.12555
5613,AgI,48,3.15295,BiI,48,3.12632
6504,AgI,48,3.14795,BiI,48,3.12596
6770,AgI,48,3.14745,BiI,48,3.12583
7256,AgI,48,3.1476,BiI,48,3.12558
7497,AgI,48,3.1382,BiI,48,3.1253
7543,AgI,48,3.1518,BiI,48,3.12634
7689,AgI,48,3.1478,BiI,48,3.12585
7717,AgI,48,3.13737,BiI,48,3.12539
7985,AgI,48,3.15204,BiI,48,3.12644
8297,AgI,48,3.13731,BiI,48,3.12536
8438,AgI,48,3.1527,BiI,48,3.12646
8445,AgI,48,3.1526,BiI,48,3.12616
8565,AgI,48,3.15213,BiI,48,3.12644
8620,AgI,48,3.13738,BiI,48,3.12608
8660,AgI,48,3.1527,BiI,48,3.12637
8780,AgI,48,3.15167,BiI,48,3.12624
8887,AgI,48,3.15199,BiI,48,3.12648
9572,AgI,48,3.15182,BiI,48,3.12652
9870,AgI,48,3.14748,BiI,48,3.12585
9954,AgI,48,3.14709,BiI,48,3.12538
9983,AgI,48,3.13765,BiI,48,3.12525
