dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1015/1.0,1.0,-119.96522763,1,14,12.70993385350150891656,12.70987685366657696707,12.70803003927015068197,89.99098013028033266053,89.99063739571769340639,89.99186915811506169773,2052.87662639436131802351
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1015/1.0075,1.0075,-119.93037112,22,14,12.80525835597494731999,12.80520092910379917568,12.80334026341503829893,89.99104784348536774671,89.99070766123360704732,89.99193025442930907973,2099.41364002967337590467
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1015/1.015,1.015,-119.85728786,40,14,12.90058285835912309492,12.90052500464786047477,12.89865048766812955243,89.99111455597531055045,89.99077688830172619737,89.99199044779760612880,2146.64869589935215391812
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10257/0.985,0.985,-119.93503420,20,14,12.53520826556195599385,12.53677887422492446651,12.53480072280070168062,89.99085447841655615239,89.99050631013400404960,89.99175522853637930099,1969.85807640008586545796
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10257/0.9925,0.9925,-119.95971660,15,14,12.63065401221413205814,12.63223658044866509071,12.63024336672941025383,89.99092416455782968216,89.99057862824764175376,89.99181810923555560693,2015.19831953091866126152
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10257/1.0,1.0,-119.96501895,1,14,12.72609975897752557157,12.72769428667955139800,12.72568601066668997585,89.99099280537796861913,89.99064986154604786187,89.99188004667689771389,2061.22900999495078463005
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10257/1.0075,1.0075,-119.92187671,17,14,12.82154550575188762339,12.82315199291742034757,12.82112865461234757167,89.99106042422225719575,89.99072003425678980191,89.99194106192673099761,2107.95536526249396530739
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/10257/1.015,1.015,-119.94643694,70,14,12.91699125243697170709,12.91860969916211871408,12.91657129856619752265,89.99112704374595389092,89.99078916989132129876,89.99200117542870233595,2155.38260280288845127083
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11084/0.985,0.985,-119.93512711,19,14,12.53526391166151648543,12.53661200602576425789,12.53486471510031512809,89.99085444334462570335,89.99050635535820542998,89.99175520120253975897,1969.85065783149602102667
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11084/0.9925,0.9925,-119.95977364,15,14,12.63071008201369546945,12.63206844164949824301,12.63030784622902781812,89.99092412975091197909,89.99057867313005302251,89.99181808210828803987,2015.19073019594242147544
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11084/1.0,1.0,-119.96502327,1,14,12.72615625247709355280,12.72752487728037800631,12.72575097746630991263,89.99099277083212609277,89.99064990609182952759,89.99188001975310346658,2061.22124730913351009027
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11084/1.0075,1.0075,-119.92146019,18,14,12.82160242295145832586,12.82298131291824040483,12.82119410871196983816,89.99106038993360499129,89.99072007847095358566,89.99194103520338111809,2107.94742660601755871770
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11084/1.015,1.015,-119.95193760,85,14,12.91704859333654508320,12.91843774856293421121,12.91663723986582207761,89.99112700971065112067,89.99078921377873650654,89.99200114890283373151,2155.37448551960046301303
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1115/0.985,0.985,-119.91489109,20,14,12.51731680200340607584,12.51857620801656721239,12.51830675170031125944,89.99084171912427085055,89.99049309115664411237,89.99174324521709291021,1961.60587956859976530409
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1115/0.9925,0.9925,-119.95180983,10,14,12.61262631935451264768,12.61389531523961583131,12.61362380702826930780,89.99091150168877382567,89.99056550916989657600,89.99180621647953937464,2006.75618182179199005059
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1115/1.0,1.0,-119.96560383,1,14,12.70793583661685430359,12.70921442246981862089,12.70894086236480629586,89.99098023748571355765,89.99063684086922077795,89.99186824312549579951,2052.59403893090373013485
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1115/1.0075,1.0075,-119.92979165,19,14,12.80324535389017857317,12.80453352970701600835,12.80425791770973399643,89.99104794989267876909,89.99070711051573806123,89.99192934625170185905,2099.12464654035804952705
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1115/1.015,1.015,-119.88883155,81,14,12.89855487127424000096,12.89985263695105284323,12.89957497306286304619,89.99111466159627568498,89.99077634165346545532,89.99198954633132186198,2146.35320029554590777584
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11754/0.985,0.985,-119.93554260,21,14,12.53644166439045776249,12.53469792559316196953,12.53656996682546040190,89.99269886976308024223,89.99060540778998381462,89.99087963745400747455,1970.00292116412633701596
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11754/0.9925,0.9925,-119.95989215,17,14,12.63189680263990045020,12.63013978720253304913,12.63202608198446136672,89.99275461921178291209,89.99067697683182805910,89.99094913338704828905,2015.34649814686537415157
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11754/1.0,1.0,-119.96482931,1,14,12.72735194089910140200,12.72558164881776355499,12.72748219725307900732,89.99280953237825439188,89.99074747229783892818,89.99101758685341148577,2061.38057323084717293878
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11754/1.0075,1.0075,-119.92116725,17,14,12.82280707916784278916,12.82102351043872263145,12.82293831253109519785,89.99286362793964131850,89.99081691816450317170,89.99108502113460367075,2108.11036427002187052971
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/11754/1.015,1.015,-119.95207632,82,14,12.91826221744591322420,12.91646537206528499050,12.91839442771830315902,89.99291692402103057579,89.99088533769962088662,89.99115145882399346623,2155.54108911736891208752
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1778/0.985,0.985,-119.91412451,20,14,12.51729369932215203132,12.51772025396327174036,12.51748251325480666022,89.99268821515459940781,89.99059094628410164579,89.99086623227869386883,1961.33899200091011731253
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1778/0.9925,0.9925,-119.95210154,10,14,12.61260304097059944689,12.61303284387211421449,12.61279329251283098959,89.99274404512455407421,89.99066262461515763813,89.99093582951566830611,2006.48315124762964453833
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1778/1.0,1.0,-119.96654273,1,14,12.70791238252882015481,12.70834543388682236157,12.70810407178048485691,89.99279903760434027431,89.99073322773084441235,89.99100438276631538488,2052.31477181942114592369
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1778/1.0075,1.0075,-119.93098134,18,14,12.80322172409659589229,12.80365802390726854885,12.80341485105755340826,89.99285321129808491865,89.99080277964434326917,89.99107191534609303238,2098.83904863813740256820
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1778/1.015,1.015,-119.85764254,38,14,12.89853106577371484768,12.89897061383332391649,12.89872563034382774595,89.99290658435705662756,89.99087130365905470726,89.99113844988131527271,2146.06117662563034861098
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1785/0.985,0.985,-119.91587087,19,14,12.51833790171496091211,12.51925187025694017605,12.51947383354129413317,89.99268926050695930894,89.99059214988090804318,89.99086714956106171690,1962.05468991470289234682
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1785/0.9925,0.9925,-119.95195684,10,14,12.61365519406346147674,12.61457612236582910423,12.61479977519942097341,89.99274508257681783549,89.99066381911611906238,89.99093673986605776991,2007.21532240803435137499
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1785/1.0,1.0,-119.96511119,1,14,12.70897248642173631779,12.70990037438058468835,12.71012571676717582060,89.99280006727493364913,89.99073441327239579334,89.99100528628869507268,2053.06366705125787500027
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1785/1.0075,1.0075,-119.92964408,18,14,12.80428977878956359139,12.80522462640107771089,12.80545165834434205434,89.99285423330287635853,89.99080395635988445646,89.99107281214212575402,2099.60492069320613328123
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/1785/1.015,1.015,-119.93572781,100,14,12.89960707116673510420,12.90054887852717742675,12.90077760003071450952,89.99290759880943039734,89.99087247167904207525,89.99113934005042774977,2146.84428018465128592114
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2612/0.985,0.985,-119.91390228,22,14,12.51680110954232049705,12.51774486927314671315,12.51586627724905007210,89.99180161125966426968,89.99095922099619722433,89.99013070006412470462,1961.01242305137956779052
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2612/0.9925,0.9925,-119.95194588,10,14,12.61210670086895363407,12.61305764603430702112,12.61116475012601088988,89.99186414220499506230,89.99102811586652126897,89.99020585579897436005,2006.14906571824038211334
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2612/1.0,1.0,-119.96722577,1,14,12.70741229210268538648,12.70837042270654992812,12.70646322311231561716,89.99192573512766522009,89.99109597728129484012,89.99027988416520153915,2051.97305523108828369978
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2612/1.0075,1.0075,-119.93214569,18,14,12.80271788334336098147,12.80368319938962623116,12.80176169610775714371,89.99198641097737454416,89.99116282832087800992,89.99035281034057231459,2098.48958566247686730820
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2612/1.015,1.015,-119.93854033,100,14,12.89802347469082453316,12.89899597618329914265,12.89706016901213312804,89.99204619008457307993,89.99122869138343495459,89.99042465875865862852,2145.70385108592813934568
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2738/0.985,0.985,-119.92577123,22,14,12.52727765498993410803,12.52884254098654220150,12.52882637116376325758,89.99180952335642670443,89.99096789225904506285,89.99013929875646873481,1966.42790514854452137218
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2738/0.9925,0.9925,-119.95458046,10,14,12.62266301691696062203,12.62423981774835675192,12.62422352504136756184,89.99187199450508595214,89.99103672159939002492,89.99021438951000072829,2011.68919601884952836227
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2738/1.0,1.0,-119.96353280,1,14,12.71804837885108351278,12.71963709452124418395,12.71962067892830780894,89.99193352852815152340,89.99110451846718137166,89.99028835386976282653,2057.63973191085680135180
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2738/1.0075,1.0075,-119.92465565,19,14,12.81343374079214244059,12.81503437130495701465,12.81501783282437380389,89.99199414635527696644,89.99117130592084051903,89.99036121699167149978,2104.28472122523442463301
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2738/1.015,1.015,-119.90519759,100,14,12.90881910273998384874,12.91043164809925546989,12.91041498672936661411,89.99205386829747496745,89.99123710633723237532,89.99043300328809610038,2151.62937236265171205178
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2774/0.985,0.985,-120.04484562,19,14,12.49155710866891442699,12.49305793226635137448,12.49289847500063166871,89.99178579860330478560,89.99094176007952551981,89.99011085595174260123,1949.61351013275302251376
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2774/0.9925,0.9925,-120.09944748,8,14,12.58667048669458904286,12.58818273742605079610,12.58802206617644394545,89.99184844905475337150,89.99101078690474846730,89.99018616165081154345,1994.48778390104229042137
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2774/1.0,1.0,-120.11667230,1,14,12.68178386472738032293,12.68330754249685661655,12.68314565736162081395,89.99191015969069589157,89.99107877829495984924,89.99026033773169779493,2040.04540912642780121044
