dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bgVBM,bgCBM,bgIND,,rel,z,abs,sumrel,mAg(da),mBi(Da),mI(Da),da2g,cubA2cubCm,den(g/cm3),scalDen,avgDen
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4249,4249,-120.1176232,1,36,12.68496512,12.68550969,12.68367295,89.99013013,89.98948102,89.99122343,2040.996288,2.103362,2.030882,2.030485,,0.999518676,,0.023667646,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4304,4304,-119.9653119,1,36,12.71786964,12.71749881,12.71944832,89.99015649,89.98950966,89.99124606,2057.23702,1.778411,1.681452,1.648698,,0.737046688,,0.017452561,,,,,,,5.32E+00,9.29E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4424,4424,-119.9673126,1,36,12.70685975,12.70790905,12.7056101,89.9901475,89.98949929,89.99123884,2051.671565,1.778193,1.6812,1.646416,,0.740001756,,0.017522534,,,,,,,5.34E+00,9.35E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4431,4431,-119.9666053,1,36,12.70699747,12.70605046,12.70594816,89.99014683,89.98949949,89.99123833,2051.448312,1.778189,1.681981,1.647775,,0.738955734,,0.017497765,,,,,,,5.34E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4531,4531,-119.9670547,1,36,12.70663434,12.70512768,12.70529261,89.9901462,89.98949907,89.99123791,2051.134874,1.777782,1.682145,1.646426,,0.739620102,,0.017513497,,,,,,,5.34E+00,9.35E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4572,4572,-120.1172009,1,36,12.68463664,12.68394866,12.6860693,89.99142872,89.99043077,89.99049996,2041.077845,2.102351,2.030902,2.029501,,0.998674799,,0.023647664,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/4884,4884,-119.9666143,1,36,12.7095677,12.71025089,12.70831337,89.99144552,89.99044878,89.99051929,2052.923661,1.777879,1.68187,1.647538,,0.738969035,,0.01749808,,,,,,,5.33E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5152,5152,-120.1174098,1,36,12.68288727,12.68418106,12.68395876,89.99142824,89.99042931,89.99049942,2040.494221,2.104966,2.034516,2.033195,,0.999092152,,0.023657547,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5180,5180,-119.9643933,1,36,12.72628664,12.72767342,12.72799031,89.99145794,89.99046242,89.99053212,2061.629135,1.782873,1.686697,1.653229,,0.735693829,,0.017420526,,,,,,,5.31E+00,9.25E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5326,5326,-119.9667881,1,36,12.70780865,12.70657435,12.70868041,89.99144411,89.99044817,89.99051721,2052.105054,1.777489,1.680734,1.646992,,0.739225857,,0.017504161,,,,,,,5.34E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5372,5372,-120.1177117,1,36,12.6834469,12.68557716,12.68560508,89.99142926,89.99043011,89.99050018,2041.073745,2.030136,2.030136,2.030136,,0.999695506,,0.023671834,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/5613,5613,-119.9643551,1,36,12.72758967,12.72774303,12.72766652,89.99145788,89.99046286,89.99053261,2061.799047,1.78509,1.689652,1.654074,,0.735637595,,0.017419195,,,,,,,5.31E+00,9.25E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/6504,6504,-119.9662464,1,36,12.70890238,12.7096794,12.70962812,89.98898358,89.99274326,89.99120694,2052.93626,1.777903,1.680403,1.64569,,0.738425428,,0.017485208,,,,,,,5.33E+00,9.33E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/6770,6770,-119.9665515,1,36,12.7086121,12.70903409,12.70888385,89.98898297,89.99274296,89.99120662,2052.664929,1.776688,1.680422,1.645308,,0.738876108,,0.01749588,,,,,,,5.34E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7256,7256,-119.9670628,1,36,12.70656342,12.70595976,12.70776924,89.98981054,89.99280318,89.99120775,2051.657622,1.779326,1.680695,1.646873,,0.739632173,,0.017513783,,,,,,,5.34E+00,9.35E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7497,7497,-120.117864,1,36,12.68297681,12.68320497,12.68135449,89.9897907,89.99278888,89.99119156,2039.932684,2.102273,2.03153,2.030197,,1,,0.023679044,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7543,7543,-119.9641881,1,36,12.72667692,12.72590259,12.7276251,89.98982659,89.99281461,89.9912217,2061.34637,1.780734,1.68387,1.650397,,0.735391947,,0.017413378,,,,,,,5.31E+00,9.25E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7689,7689,-119.9667533,1,36,12.70899913,12.70960542,12.7077989,89.98981208,89.99280392,89.99120989,2052.644479,1.778044,1.680208,1.645658,,0.739174438,,0.017502944,,,,,,,5.34E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7717,7717,-120.1174413,1,36,12.68174644,12.68400718,12.68386633,89.98979201,89.9927892,89.99119143,2040.267849,2.104027,2.033762,2.032517,,0.999155077,,0.023659037,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7985,7985,-119.9646857,1,36,12.72675846,12.72511654,12.72528958,89.99142736,89.9905378,89.98975639,2060.854002,1.781766,1.686318,1.65197,,0.73612413,,0.017430716,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8297,8297,-120.1170572,1,36,12.68237305,12.68194813,12.6838614,89.99139849,89.99050567,89.98972075,2040.036632,2.104508,2.034293,2.033013,,0.998387861,,0.02364087,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8438,8438,-119.9645211,1,36,12.72695385,12.72586222,12.72801638,89.99142851,89.99053902,89.98975677,2061.448045,1.782836,1.686521,1.652107,,0.735881896,,0.01742498,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8445,8445,-119.9642127,1,36,12.72593327,12.72769692,12.72568471,89.99142841,89.9905377,89.98975705,2061.202249,1.7845,1.689066,1.653071,,0.735428115,,0.017414235,,,,,,,5.31E+00,9.25E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8565,8565,-119.9643888,1,36,12.72675536,12.72558041,12.72779632,89.99142834,89.99053886,89.98975657,2061.334606,1.78209,1.686738,1.653069,,0.73568709,,0.017420367,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8620,8620,-120.1171475,1,36,12.68474427,12.68374033,12.68377201,89.9923356,89.99122915,89.98924585,2040.69203,2.103153,2.03269,2.031461,,0.998568186,,0.02364514,,,,,,,5.37E+00,1.27E-01,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8660,8660,-119.9642269,1,36,12.72602845,12.72832247,12.72614917,89.992362,89.99125823,89.98928236,2061.394209,1.785418,1.691932,1.654435,,0.735448913,,0.017414727,,,,,,,5.31E+00,9.25E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8780,8780,-119.9645494,1,36,12.72671733,12.72502224,12.72539699,89.99236083,89.99125821,89.98928128,2060.849471,1.780723,1.684462,1.650531,,0.735923504,,0.017425965,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8887,8887,-119.9644085,1,36,12.72646127,12.72563669,12.72548788,89.99008721,89.9902898,89.99273444,2060.92224,1.781105,1.68335,1.650894,,0.735716136,,0.017421055,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9572,9572,-119.9644017,1,36,12.72775825,12.72621006,12.7264131,89.99008779,89.99029066,89.99273496,2061.375003,1.779449,1.682705,1.648832,,0.7357061,,0.017420817,,,,,,,5.31E+00,9.26E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9870,9870,-119.9667846,1,36,12.70736775,12.70944485,12.70739126,89.99131119,89.99109514,89.99071315,2052.289227,1.779103,1.68276,1.648378,,0.739220771,,0.017504041,,,,,,,5.34E+00,9.34E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9954,9954,-119.9673026,1,36,12.70781057,12.70608402,12.70598064,89.99130969,89.99109465,89.99071201,2051.590259,1.776981,1.682508,1.647524,,0.739986926,,0.017522183,,,,,,,5.34E+00,9.35E-02,
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9983,9983,-120.1172737,1,36,12.68263229,12.68188974,12.68205598,89.99129308,89.99107737,89.9906938,2039.778563,2.105599,2.035443,2.034141,,0.998820117,,0.023651105,,,,,,,5.37E+00,1.27E-01,
