dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bgVBM,bgCBM,bgIND
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7256,7256,-119.96706282,1,36,12.70656341606894572608,12.70595975864304567925,12.70776924007985579081,89.98981053972566800658,89.99280318104228698518,89.99120774944406847717,2051.65762229031763015842,1.7793259999999997,1.680695,1.6468729999999998
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7497,7497,-120.11786396,1,36,12.68297680678697871213,12.68320496601463887270,12.68135449452666206298,89.98979069520930805445,89.99278888092253548152,89.99119155752018640497,2039.93268442280621863286,2.1022730000000003,2.03153,2.0301970000000003
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7543,7543,-119.96418813,1,36,12.72667692166863758007,12.72590259009316283858,12.72762510446990315647,89.98982659245205083635,89.99281460517436246442,89.99122170449880401128,2061.34637014929804920845,1.7807340000000003,1.6838699999999998,1.650397
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7689,7689,-119.96675329,1,36,12.70899913105678242625,12.70960541911561124742,12.70779889687969020859,89.98981207909213359439,89.99280391854359659529,89.99120988595734759246,2052.64447911130882418733,1.778044,1.680208,1.645658
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7717,7717,-120.11744132,1,36,12.68174644029314813794,12.68400718400857764021,12.68386633321267587196,89.98979201288895661146,89.99278919907088207003,89.99119143228483844626,2040.26784880728205172220,2.1040270000000003,2.0337619999999994,2.0325169999999995
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/7985,7985,-119.96468570,1,36,12.72675846105640982731,12.72511653922990830182,12.72528957554569575492,89.99142736339573607568,89.99053779875807927100,89.98975639373059213984,2060.85400248356056954546,1.7817660000000002,1.686318,1.65197
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8297,8297,-120.11705724,1,36,12.68237304927018630317,12.68194812652547078455,12.68386140453686463434,89.99139849105791527175,89.99050567255703653532,89.98972074946294365865,2040.03663195293712679676,2.104508,2.034293,2.0330129999999995
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8438,8438,-119.96452114,1,36,12.72695385145503337841,12.72586221712481996238,12.72801638202659758723,89.99142851284550898443,89.99053901536781347782,89.98975676567147344382,2061.44804540589304986286,1.782836,1.686521,1.652107
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8445,8445,-119.96421272,1,36,12.72593326996222284186,12.72769691811230404071,12.72568470994292746781,89.99142840798938331730,89.99053769623304118685,89.98975704567865281803,2061.20224888488295217286,1.7845000000000004,1.689066,1.6530710000000002
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8565,8565,-119.96438876,1,36,12.72675536055643086946,12.72558041422674256338,12.72779631682813969733,89.99142834137975458153,89.99053885750729283808,89.98975657239483954787,2061.33460588853922913305,1.7820900000000002,1.686738,1.653069
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8620,8620,-120.11714754,1,36,12.68474426818507616672,12.68374032943276034544,12.68377200574407553315,89.99233560463895690602,89.99122915130363728990,89.98924585074450747786,2040.69202959268970216481,2.1031530000000003,2.0326899999999997,2.0314609999999997
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8660,8660,-119.96422686,1,36,12.72602844656817834595,12.72832246585489075099,12.72614916591050171022,89.99236199724694518902,89.99125822585879795727,89.98928236160970455864,2061.39420919041492856593,1.785418,1.691932,1.6544349999999999
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8780,8780,-119.96454941,1,36,12.72671732846290832357,12.72502223937539318699,12.72539699141463348967,89.99236082910390378228,89.99125821237092731444,89.98928128308329461018,2060.84947143394746307297,1.780723,1.684462,1.650531
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/8887,8887,-119.96440850,1,36,12.72646127378016289022,12.72563669380941152480,12.72548788231206093021,89.99008720834137518861,89.99028979924461354594,89.99273443880294862862,2060.92224005890055604721,1.7811049999999997,1.6833500000000003,1.650894
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9572,9572,-119.96440168,1,36,12.72775825267232787888,12.72621005780571138461,12.72641310480597608267,89.99008779069133254052,89.99029066495241158190,89.99273496467217064352,2061.37500269391088083415,1.779449,1.682705,1.648832
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9870,9870,-119.96678463,1,36,12.70736775116140192901,12.70944484676588684275,12.70739126335011267034,89.99131118818378061987,89.99109514205905554760,89.99071315387341804366,2052.28922662214095451446,1.779103,1.6827599999999996,1.6483779999999997
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9954,9954,-119.96730258,1,36,12.70781057145924280282,12.70608402098426113383,12.70598064336269711802,89.99130968769912514421,89.99109465378671012143,89.99071201101382693024,2051.59025930942265039336,1.7769810000000001,1.6825080000000003,1.6475240000000002
/gpfs/scratch/vkb5066/agbii4Finals/s4Gamma/9983,9983,-120.11727367,1,36,12.68263228758224882113,12.68188973611682187842,12.68205597647655626513,89.99129307599426780222,89.99107736518420403566,89.99069380095726938333,2039.77856316609659632924,2.105599,2.035443,2.0341409999999995
