dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bg
/gpfs/scratch/vkb5066/agbii4/all/0,0,-117.02935682,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.186735
/gpfs/scratch/vkb5066/agbii4/all/1,1,-117.89163106,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3160800000000004
/gpfs/scratch/vkb5066/agbii4/all/10,10,-117.12939592,21,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2183999999999995
/gpfs/scratch/vkb5066/agbii4/all/100,100,-116.64252911,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,0.9570440000000002
/gpfs/scratch/vkb5066/agbii4/all/1000,1000,-117.92751818,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5488119999999994
/gpfs/scratch/vkb5066/agbii4/all/10000,10000,-117.93519089,12,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.623358
/gpfs/scratch/vkb5066/agbii4/all/10001,10001,-117.51384521,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.528721
/gpfs/scratch/vkb5066/agbii4/all/10002,10002,-117.48019739,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2525649999999997
/gpfs/scratch/vkb5066/agbii4/all/10003,10003,-117.98739806,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6360640000000002
/gpfs/scratch/vkb5066/agbii4/all/10004,10004,-118.00708447,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5949150000000003
/gpfs/scratch/vkb5066/agbii4/all/10005,10005,-118.27498528,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6145220000000005
/gpfs/scratch/vkb5066/agbii4/all/10006,10006,-117.91777502,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4371410000000004
/gpfs/scratch/vkb5066/agbii4/all/10007,10007,-116.94910821,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.0443089999999997
/gpfs/scratch/vkb5066/agbii4/all/10008,10008,-117.48020902,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2525789999999999
/gpfs/scratch/vkb5066/agbii4/all/10009,10009,-117.87876094,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.375702
/gpfs/scratch/vkb5066/agbii4/all/1001,1001,-117.87877726,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3758059999999999
/gpfs/scratch/vkb5066/agbii4/all/10010,10010,-116.67798668,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,0.8814559999999996
/gpfs/scratch/vkb5066/agbii4/all/10011,10011,-117.89791516,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.459127
/gpfs/scratch/vkb5066/agbii4/all/10012,10012,-117.84942953,15,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.299829
/gpfs/scratch/vkb5066/agbii4/all/10013,10013,-118.29667787,21,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6757120000000003
/gpfs/scratch/vkb5066/agbii4/all/10014,10014,-117.48020149,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2525609999999996
/gpfs/scratch/vkb5066/agbii4/all/10015,10015,-117.91637178,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4534759999999998
/gpfs/scratch/vkb5066/agbii4/all/10016,10016,-117.91638432,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4534950000000002
/gpfs/scratch/vkb5066/agbii4/all/10017,10017,-116.94910368,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.044343
/gpfs/scratch/vkb5066/agbii4/all/10018,10018,-118.29668266,21,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6757250000000004
/gpfs/scratch/vkb5066/agbii4/all/10019,10019,-117.89794037,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4592150000000004
/gpfs/scratch/vkb5066/agbii4/all/1002,1002,-117.89791478,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4591219999999994
/gpfs/scratch/vkb5066/agbii4/all/10020,10020,-118.22480275,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6212080000000002
/gpfs/scratch/vkb5066/agbii4/all/10021,10021,-117.87876807,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.375756
/gpfs/scratch/vkb5066/agbii4/all/10022,10022,-117.00293261,24,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.0549399999999998
/gpfs/scratch/vkb5066/agbii4/all/10023,10023,-117.12704203,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2282870000000004
/gpfs/scratch/vkb5066/agbii4/all/10024,10024,-115.95378530,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,0.7563839999999997
/gpfs/scratch/vkb5066/agbii4/all/10025,10025,-116.63289597,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.0025939999999998
/gpfs/scratch/vkb5066/agbii4/all/10026,10026,-117.63461905,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4302270000000004
/gpfs/scratch/vkb5066/agbii4/all/10027,10027,-116.63289590,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.002592
/gpfs/scratch/vkb5066/agbii4/all/10028,10028,-117.92484630,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6357299999999997
/gpfs/scratch/vkb5066/agbii4/all/10029,10029,-117.12702532,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.228269
/gpfs/scratch/vkb5066/agbii4/all/1003,1003,-118.29668267,21,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6757289999999996
/gpfs/scratch/vkb5066/agbii4/all/10030,10030,-117.63461756,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.430221
/gpfs/scratch/vkb5066/agbii4/all/10031,10031,-117.00293343,24,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.05499
/gpfs/scratch/vkb5066/agbii4/all/10032,10032,-117.87876320,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3757140000000003
/gpfs/scratch/vkb5066/agbii4/all/10033,10033,-117.35900903,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.243366
/gpfs/scratch/vkb5066/agbii4/all/10034,10034,-117.84011894,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.386902
/gpfs/scratch/vkb5066/agbii4/all/10035,10035,-117.85012595,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.623503
/gpfs/scratch/vkb5066/agbii4/all/10036,10036,-117.56900113,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4579450000000005
/gpfs/scratch/vkb5066/agbii4/all/10037,10037,-117.35900867,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2433620000000003
/gpfs/scratch/vkb5066/agbii4/all/10038,10038,-117.56901952,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4579329999999997
/gpfs/scratch/vkb5066/agbii4/all/10039,10039,-117.93400324,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5744630000000002
/gpfs/scratch/vkb5066/agbii4/all/1004,1004,-117.21381572,19,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2511750000000004
/gpfs/scratch/vkb5066/agbii4/all/10040,10040,-117.83999257,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3873829999999998
/gpfs/scratch/vkb5066/agbii4/all/10041,10041,-117.87877125,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3757779999999995
/gpfs/scratch/vkb5066/agbii4/all/10042,10042,-116.94910839,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.0443309999999997
