ID,nrgMin,B(GPa)
11084,-119.96502328,7.4997431379726756
1778,-119.96654274,7.861341474794829
2612,-119.96722577,7.898094546213306
4209,-119.96525692,7.7602565116685485
7497,-120.11681252,7.481564376958858
7985,-119.96567491,7.550270818681864
