ID,nrgMin,B(GPa)
10095,-120.06574685,12.235510131879419
10131,-119.93447455,11.667381260179615
1015,-119.96623561,11.712496484945701
10257,-119.93529318,11.667444923378707
11084,-119.93497894,11.667750817602387
1115,-119.9601262,11.707588027378725
11754,-119.93576631,11.656182721050607
1778,-119.95595066,11.696264683436205
1785,-119.96524896,11.690281714369785
2612,-119.95866871,11.73907382773148
2738,-119.95732485,11.459307770972577
2774,-120.063115,12.231299125854743
2886,-120.0653217,12.233030437156449
2915,-119.9357066,11.654080415482158
2999,-119.94397795,11.669208531397736
3297,-119.96647733,11.7296797290996
3471,-119.96595139,11.734730132404952
3982,-119.96590088,11.737958598685088
4082,-119.95518836,11.740708137197423
4089,-119.95557647,11.751188766897736
4209,-119.96671321,11.702003143989744
4249,-120.07593624,12.235404422793955
4304,-119.95502236,11.458421171444828
4424,-119.95730526,11.727471912228934
4431,-119.95573322,11.714188326641446
4531,-119.96652144,11.774297276627848
4572,-120.07537166,12.209609009101527
4884,-119.96530777,11.691316929143488
5152,-120.06629129,12.208559797123705
5180,-119.93539011,11.649919060179064
5326,-119.9581331,11.698453304236827
5372,-120.07488316,12.216706558763741
5613,-119.93472332,11.649131766636078
6504,-119.96465016,11.694987442292332
6770,-119.95972822,11.696189163406483
7256,-119.95771893,11.72061405360452
7497,-120.06316494,12.228093416862702
7543,-119.93492312,11.656378227916687
7689,-119.96524012,11.70909195406916
7717,-120.06690733,12.226906961174453
7985,-119.93455342,11.660792311197433
8297,-120.06401369,12.207141214615124
8438,-119.93438099,11.647264605048182
8445,-119.93460415,11.64882801410738
8565,-119.94241098,11.677220974412311
8620,-120.07545252,12.218451269194222
8660,-119.94239984,11.66834612127057
8780,-119.93446643,11.662614724344847
8887,-119.93517909,11.659211906224401
9572,-119.94216768,11.66809615757073
9870,-119.96494963,11.709987714068165
9954,-119.95638396,11.708702033652793
9983,-120.06611083,12.218805624391122
