Generation Seed Number 0                ,AgAg,11,3.74964,AgBi,14,4.23493,AgI,49,3.12901,BiBi,9,4.39741,BiI,48,3.10598,II,183,4.27525
Generation Seed Number 1                ,AgAg,10,4.21335,AgBi,28,4.27507,AgI,48,3.05549,BiBi,10,4.41453,BiI,48,3.09733,II,184,4.28262
Generation Seed Number 2                ,AgAg,11,3.74952,AgBi,14,4.23493,AgI,49,3.12903,BiBi,9,4.39741,BiI,48,3.10596,II,183,4.27524
Generation Seed Number 3                ,AgAg,14,4.13292,AgBi,20,4.25939,AgI,48,3.07155,BiBi,2,4.30479,BiI,48,3.11062,II,177,4.26845
Generation Seed Number 4                ,AgAg,12,4.17526,AgBi,21,4.21956,AgI,48,3.06181,BiBi,7,4.40595,BiI,48,3.10398,II,180,4.27624
Generation Seed Number 5                ,AgAg,12,4.17526,AgBi,21,4.21956,AgI,48,3.06181,BiBi,7,4.40595,BiI,48,3.10398,II,180,4.27624
Generation Seed Number 6                ,AgAg,14,4.13292,AgBi,20,4.25939,AgI,48,3.07155,BiBi,2,4.30479,BiI,48,3.11062,II,177,4.26845
Generation Seed Number 7                ,AgAg,12,4.17526,AgBi,21,4.21956,AgI,48,3.06181,BiBi,7,4.40595,BiI,48,3.10398,II,180,4.27624
Generation Seed Number 8                ,AgAg,12,4.17293,AgBi,21,4.21966,AgI,48,3.06209,BiBi,7,4.40739,BiI,48,3.10455,II,180,4.27623
Generation Seed Number 9                ,AgAg,7,3.38501,AgBi,16,4.27483,AgI,48,3.10785,BiBi,9,4.34094,BiI,48,3.09611,II,181,4.27378
Generation Seed Number 10               ,AgAg,9,3.56072,AgBi,13,4.23372,AgI,48,3.10651,BiBi,10,4.39808,BiI,48,3.10151,II,182,4.27498
Generation Seed Number 11               ,AgAg,12,3.68385,AgBi,10,4.24864,AgI,48,3.12072,BiBi,8,4.3577,BiI,48,3.10871,II,176,4.26713
Generation Seed Number 12               ,AgAg,10,3.55434,AgBi,12,4.28398,AgI,48,3.11471,BiBi,7,4.31955,BiI,48,3.10523,II,177,4.26807
Generation Seed Number 13               ,AgAg,9,3.55618,AgBi,13,4.24264,AgI,49,3.13277,BiBi,10,4.39314,BiI,48,3.10248,II,182,4.27504
Generation Seed Number 14               ,AgAg,11,3.72827,AgBi,13,4.22357,AgI,48,3.10793,BiBi,8,4.37639,BiI,48,3.10462,II,181,4.27286
Generation Seed Number 15               ,AgAg,10,3.63281,AgBi,10,4.18323,AgI,49,3.13281,BiBi,10,4.37053,BiI,48,3.10226,II,183,4.27752
Generation Seed Number 16               ,AgAg,8,3.45948,AgBi,14,4.2713,AgI,48,3.11203,BiBi,7,4.31047,BiI,48,3.10051,II,179,4.27146
Generation Seed Number 17               ,AgAg,10,4.20178,AgBi,26,4.26277,AgI,48,3.05506,BiBi,10,4.41081,BiI,48,3.09428,II,188,4.28664
Generation Seed Number 18               ,AgAg,11,4.07752,AgBi,22,4.29036,AgI,48,3.07126,BiBi,8,4.36581,BiI,48,3.09874,II,180,4.27703
Generation Seed Number 19               ,AgAg,10,4.09509,AgBi,22,4.27759,AgI,48,3.06705,BiBi,10,4.38374,BiI,48,3.0977,II,182,4.27985
Generation Seed Number 20               ,AgAg,10,4.21849,AgBi,28,4.27422,AgI,48,3.05483,BiBi,8,4.38714,BiI,48,3.09393,II,186,4.28478
Generation Seed Number 21               ,AgAg,10,4.17429,AgBi,28,4.29257,AgI,48,3.05846,BiBi,8,4.38373,BiI,48,3.09649,II,188,4.28668
Generation Seed Number 22               ,AgAg,10,4.1499,AgBi,23,4.25558,AgI,48,3.06474,BiBi,9,4.36725,BiI,48,3.0964,II,180,4.27863
Generation Seed Number 23               ,AgAg,9,4.15866,AgBi,27,4.29153,AgI,48,3.06271,BiBi,9,4.35224,BiI,48,3.09243,II,186,4.2861
